,gcm,period_scenario,temp_ch_ipcc,region
179,gfdl-esm4,1995-2014_hist,1.0914609208172843,RGI10_glacier
180,gfdl-esm4,2021-2040_ssp126,2.0699346895238318,RGI10_glacier
181,gfdl-esm4,2041-2060_ssp126,2.2806872692463607,RGI10_glacier
182,gfdl-esm4,2061-2080_ssp126,2.4289543365944395,RGI10_glacier
183,gfdl-esm4,2081-2100_ssp126,2.290583215895129,RGI10_glacier
184,gfdl-esm4,2021-2040_ssp370,1.7604569957460035,RGI10_glacier
185,gfdl-esm4,2041-2060_ssp370,2.686913373203411,RGI10_glacier
186,gfdl-esm4,2061-2080_ssp370,3.7399598887884604,RGI10_glacier
187,gfdl-esm4,2081-2100_ssp370,4.667723618843366,RGI10_glacier
188,gfdl-esm4,2021-2040_ssp585,1.9953279496337197,RGI10_glacier
189,gfdl-esm4,2041-2060_ssp585,2.8765279014664555,RGI10_glacier
190,gfdl-esm4,2061-2080_ssp585,4.143365737552333,RGI10_glacier
191,gfdl-esm4,2081-2100_ssp585,5.580837649002997,RGI10_glacier
192,gfdl-esm4,1851-1870_hist,0.7821110304161226,RGI11_glacier
193,gfdl-esm4,1901-1920_hist,0.8013679477013868,RGI11_glacier
194,gfdl-esm4,1951-1970_hist,0.6986598922632897,RGI11_glacier
195,gfdl-esm4,1995-2014_hist,1.3437520524511246,RGI11_glacier
196,gfdl-esm4,2021-2040_ssp126,2.2159536495097556,RGI11_glacier
197,gfdl-esm4,2041-2060_ssp126,2.219676640832178,RGI11_glacier
198,gfdl-esm4,2061-2080_ssp126,2.4585225376600235,RGI11_glacier
199,gfdl-esm4,2081-2100_ssp126,1.960972800451522,RGI11_glacier
200,gfdl-esm4,2021-2040_ssp370,2.1149495707704222,RGI11_glacier
201,gfdl-esm4,2041-2060_ssp370,3.027604027079507,RGI11_glacier
202,gfdl-esm4,2061-2080_ssp370,3.732485905942439,RGI11_glacier
203,gfdl-esm4,2081-2100_ssp370,4.8136571354744735,RGI11_glacier
204,gfdl-esm4,2021-2040_ssp585,1.9972616635155576,RGI11_glacier
205,gfdl-esm4,2041-2060_ssp585,3.069199959279426,RGI11_glacier
206,gfdl-esm4,2061-2080_ssp585,4.007193736440455,RGI11_glacier
207,gfdl-esm4,2081-2100_ssp585,5.307175366160173,RGI11_glacier
208,gfdl-esm4,1851-1870_hist,0.625746764158136,RGI12_glacier
209,gfdl-esm4,1901-1920_hist,0.7407305454489989,RGI12_glacier
210,gfdl-esm4,1951-1970_hist,0.13270533738402324,RGI12_glacier
211,gfdl-esm4,1995-2014_hist,0.9343036196373606,RGI12_glacier
212,gfdl-esm4,2021-2040_ssp126,1.8797534521420962,RGI12_glacier
213,gfdl-esm4,2041-2060_ssp126,2.341016526343002,RGI12_glacier
214,gfdl-esm4,2061-2080_ssp126,1.9711377915765484,RGI12_glacier
215,gfdl-esm4,2081-2100_ssp126,2.0721948596426945,RGI12_glacier
216,gfdl-esm4,2021-2040_ssp370,1.9569650968272998,RGI12_glacier
217,gfdl-esm4,2041-2060_ssp370,2.6033621510663427,RGI12_glacier
218,gfdl-esm4,2061-2080_ssp370,3.446665004294893,RGI12_glacier
219,gfdl-esm4,2081-2100_ssp370,4.367863110787893,RGI12_glacier
220,gfdl-esm4,2021-2040_ssp585,2.0066180380370087,RGI12_glacier
221,gfdl-esm4,2041-2060_ssp585,2.7680796467881255,RGI12_glacier
222,gfdl-esm4,2061-2080_ssp585,3.6746964654599354,RGI12_glacier
223,gfdl-esm4,2081-2100_ssp585,4.93733345453826,RGI12_glacier
224,gfdl-esm4,1851-1870_hist,0.10400026135454976,RGI13_glacier
225,gfdl-esm4,1901-1920_hist,0.2708906553312619,RGI13_glacier
226,gfdl-esm4,1951-1970_hist,0.2287093858700403,RGI13_glacier
227,gfdl-esm4,1995-2014_hist,0.8838654118367587,RGI13_glacier
228,gfdl-esm4,2021-2040_ssp126,1.6057313996284037,RGI13_glacier
229,gfdl-esm4,2041-2060_ssp126,1.9135379067256295,RGI13_glacier
230,gfdl-esm4,2061-2080_ssp126,2.084917696369813,RGI13_glacier
231,gfdl-esm4,2081-2100_ssp126,1.899194976057443,RGI13_glacier
232,gfdl-esm4,2021-2040_ssp370,1.6453135931955343,RGI13_glacier
233,gfdl-esm4,2041-2060_ssp370,2.582882254181708,RGI13_glacier
234,gfdl-esm4,2061-2080_ssp370,3.7521365956042514,RGI13_glacier
235,gfdl-esm4,2081-2100_ssp370,4.553001959563843,RGI13_glacier
236,gfdl-esm4,2021-2040_ssp585,1.8205472212078417,RGI13_glacier
237,gfdl-esm4,2041-2060_ssp585,2.807620554612619,RGI13_glacier
238,gfdl-esm4,2061-2080_ssp585,3.9043823761689493,RGI13_glacier
239,gfdl-esm4,2081-2100_ssp585,5.2007646453264655,RGI13_glacier
240,gfdl-esm4,1851-1870_hist,0.04666402285219717,RGI14_glacier
241,gfdl-esm4,1901-1920_hist,0.30458026636517455,RGI14_glacier
242,gfdl-esm4,1951-1970_hist,0.31101032880192647,RGI14_glacier
243,gfdl-esm4,1995-2014_hist,0.890967365622065,RGI14_glacier
244,gfdl-esm4,2021-2040_ssp126,1.4686905157398105,RGI14_glacier
245,gfdl-esm4,2041-2060_ssp126,1.7599085229442712,RGI14_glacier
246,gfdl-esm4,2061-2080_ssp126,1.8870872992362497,RGI14_glacier
247,gfdl-esm4,2081-2100_ssp126,1.7251320059564637,RGI14_glacier
248,gfdl-esm4,2021-2040_ssp370,1.3827472791305968,RGI14_glacier
249,gfdl-esm4,2041-2060_ssp370,2.294256032535738,RGI14_glacier
250,gfdl-esm4,2061-2080_ssp370,3.378990793533045,RGI14_glacier
251,gfdl-esm4,2081-2100_ssp370,4.236582359522531,RGI14_glacier
252,gfdl-esm4,2021-2040_ssp585,1.4809550088971366,RGI14_glacier
253,gfdl-esm4,2041-2060_ssp585,2.4366458153968624,RGI14_glacier
254,gfdl-esm4,2061-2080_ssp585,3.6555803997573566,RGI14_glacier
255,gfdl-esm4,2081-2100_ssp585,5.001519080330896,RGI14_glacier
256,gfdl-esm4,1851-1870_hist,0.2644241754049307,RGI15_glacier
257,gfdl-esm4,1901-1920_hist,0.3381353274436082,RGI15_glacier
258,gfdl-esm4,1951-1970_hist,0.4698505627421513,RGI15_glacier
259,gfdl-esm4,1995-2014_hist,0.7728128303594634,RGI15_glacier
260,gfdl-esm4,2021-2040_ssp126,1.3443402322075673,RGI15_glacier
261,gfdl-esm4,2041-2060_ssp126,1.6242395578292461,RGI15_glacier
262,gfdl-esm4,2061-2080_ssp126,1.8196486790823476,RGI15_glacier
263,gfdl-esm4,2081-2100_ssp126,1.721618640418423,RGI15_glacier
264,gfdl-esm4,2021-2040_ssp370,1.4394837003216017,RGI15_glacier
265,gfdl-esm4,2041-2060_ssp370,2.2017605683217614,RGI15_glacier
266,gfdl-esm4,2061-2080_ssp370,3.445990486266557,RGI15_glacier
267,gfdl-esm4,2081-2100_ssp370,4.088853822455808,RGI15_glacier
268,gfdl-esm4,2021-2040_ssp585,1.4465046886085635,RGI15_glacier
269,gfdl-esm4,2041-2060_ssp585,2.452172143609686,RGI15_glacier
270,gfdl-esm4,2061-2080_ssp585,3.6345445483294148,RGI15_glacier
271,gfdl-esm4,2081-2100_ssp585,4.744154049031194,RGI15_glacier
272,gfdl-esm4,1851-1870_hist,-0.2466217049066709,RGI16_glacier
273,gfdl-esm4,1901-1920_hist,0.054243467595627703,RGI16_glacier
